Designator,Mid X,Mid Y,Rotation,Layer
C1,123.1,-59.1,270.0,top
C2,134.05,-59.1,270.0,top
C3,145.0,-59.1,270.0,top
C4,156.21,-59.0804,270.0,top
C5,154.5,-66.15,180.0,top
J1,126.14,-38.0,180.0,bottom
J2,146.15,-76.52,0.0,top
J3,128.185,-77.85,270.0,top
J6,142.08,-38.0,180.0,bottom
R1,120.45,-60.1,270.0,top
R10,142.9,-60.1,270.0,top
R11,151.9,-60.1,270.0,top
R12,140.9,-60.1,270.0,top
R13,118.483333,-60.1,270.0,top
R14,130.5,-60.1,270.0,top
R2,126.5,-60.1,270.0,top
R3,114.55,-60.1,270.0,top
R4,116.516667,-60.1,270.0,top
R5,128.5,-60.1,270.0,top
R6,136.95,-60.1,270.0,top
R7,138.916667,-60.1,270.0,top
R8,147.9,-60.1,270.0,top
R9,149.9,-60.1,270.0,top
U1,117.59,-50.01,90.0,top
U2,128.59,-50.01,90.0,top
U3,139.53,-50.01,90.0,top
U4,150.5,-50.01,90.0,top
U5,133.88,-70.64,90.0,top
